Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominican Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.081434899,0.522932174,0.549636367,0.593837049,0.618338317,0.607988389,0.679373372,0.642163381,0.437440764,0.476673368,0.61125242,0.716847222,0.796098448,0.992779597,0.83841084,0.874492001,0.88556449,#N/A,#N/A,#N/A
East Timor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.010565416,0.0043451,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.005313602,#N/A,#N/A,#N/A,0.002417426,#N/A,#N/A,#N/A
Ecuador,#N/A,#N/A,#N/A,0.285139917,0.304228685,0.301999923,0.384335002,0.436149709,0.488983091,0.521414042,0.420304589,0.445108072,0.482186928,0.464749155,0.502975086,0.603849871,0.760612114,0.9869357,1.272779606,1.380036353,1.881832545,1.386304988,1.748992174,2.234252391,2.385201674,2.495764441,2.572443249,1.833060769,1.679766462,1.91224551,#N/A,#N/A,#N/A
Egypt,#N/A,#N/A,#N/A,0.285139917,0.304228685,0.301999923,0.384335002,0.436149709,0.488983091,0.521414042,0.420304589,0.445108072,0.482186928,0.464749155,0.502975086,0.603849871,0.760612114,0.9869357,1.272779606,1.380036353,1.881832545,1.386304988,1.748992174,2.234252391,2.385201674,2.495764441,2.572443249,1.833060769,1.679766462,1.91224551,#N/A,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.082179699,0.098519936,0.102426368,0.13539008,0.125706701,0.116415646,0.294130606,0.286377431,0.299506917,0.312800253,0.330458093,0.343647578,0.372999295,0.401453865,0.464107049,0.38660801,0.449924325,0.530817907,0.533908839,0.551930008,0.000530128,0.550904769,0.54201329,0.576001521,#N/A,#N/A,#N/A
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.082179699,0.098519936,0.102426368,0.13539008,0.125706701,0.116415646,0.294130606,0.286377431,0.299506917,0.312800253,0.330458093,0.343647578,0.372999295,0.401453865,0.464107049,0.38660801,0.449924325,0.530817907,0.533908839,0.551930008,0.000530128,0.550904769,0.54201329,0.576001521,#N/A,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000661876,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.184037824,0.207799347,0.293569894,0.324483405,0.301719413,0.382970351,0.399683179,0.434104134,0.562918151,0.653052916,0.824744413,1.003936695,1.173944669,1.370385764,1.044584039,1.281136448,1.813913143,1.816122371,1.828413637,1.746555981,1.390760995,1.396742943,1.538773546,#N/A,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.184037824,0.207799347,0.293569894,0.324483405,0.301719413,0.382970351,0.399683179,0.434104134,0.562918151,0.653052916,0.824744413,1.003936695,1.173944669,1.370385764,1.044584039,1.281136448,1.813913143,1.816122371,1.828413637,1.746555981,1.390760995,1.396742943,1.538773546,#N/A,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04223065,0.038361069,0.043041955,0.047788041,0.047672905,0.052170728,0.054202928,0.059929853,0.062009702,0.060176441,0.063096718,0.074623039,0.085209054,0.076174383,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.046594002,0.046058212,0.052258037,0.050313938,0.055281356,0.070170126,0.067890779,0.074573349,0.092191105,0.062867499,0.08413614,0.106947069,0.122060243,0.110798982,0.137326443,0.089515999,0.09258784,0.09556135,#N/A,#N/A,#N/A
