Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
French Guiana,0.106,0.116,0.129,0.154,0.169,0.194,0.209,0.233,0.265,0.294,0.332,0.381,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.585,0.606,0.631,0.655,0.681,0.706,0.901,0.922,1.029,1.104,1.053,0.877,0.874,0.901,0.906,0.92,1.12,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,0.239,0.262,0.272,0.216,0.192,0.208,0.213,0.213,0.243,0.258,0.277,0.287,0.302,0.308,0.32,0.335,0.337,0.343,0.34,0.347,0.389,0.472,0.522,0.572,0.612,0.603,0.629,0.659,0.687,0.701,0.6293,0.6473,0.6473,0.6303,0.5823,0.5843,0.5943,0.6103,#N/A,#N/A,#N/A
Gabon,0.51,0.579,0.651,0.711,0.777,0.842,0.848,0.852,0.858,0.882,0.985,1.001,1.027,1.067,1.071,1.181,1.185,1.241,1.275,1.291,1.277,1.345,1.429,1.465,1.484,1.513,1.609,1.68,1.778,1.801,1.865,1.962,2.081,2.023,1.918,2.046,2.244,2.191,#N/A,#N/A,#N/A
Gambia,0.51,0.579,0.651,0.711,0.777,0.842,0.848,0.852,0.858,0.882,0.985,1.001,1.027,1.067,1.071,1.181,1.185,1.241,1.275,1.291,1.277,1.345,1.429,1.465,1.484,1.513,1.609,1.68,1.778,1.801,1.865,1.962,2.081,2.023,1.918,2.046,2.244,2.191,#N/A,#N/A,#N/A
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.144,9.465,8.669,6.646,7.081,7.047,7.903,7.886,7.271,6.798,7.16,7.057,6.812,7.143,7.116,8.173,8.304,8.415,9.985,9.977,9.475,9.869,10.166,10.605,11.347,11.305,#N/A,#N/A,#N/A
Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,505.457,503.627,493.139,495.603,502.972,520.14,517.174,522.214,519.283,540.116,549.697,549.976,574.4,581.097,580.006,597.049,599.971,601.374,559.297,593.871,576.933,593.303,602.607,592.677,611.906,614.597,618.316,616.477,#N/A,#N/A
Ghana,5.309,5.382,4.981,2.61,1.899,3.077,4.459,4.682,4.863,5.223,5.707,6.116,6.575,6.249,6.059,6.054,6.585,6.816,4.725,5.828,7.134,7.733,7.107,5.726,5.878,6.676,8.214,6.756,8.149,8.78,9.923,10.922,11.722,12.527,12.624,11.113,9.622,13.526,#N/A,#N/A,#N/A
Greece,21.288,21.879,21.763,22.263,23.057,25.736,25.965,27.595,29.648,31.266,32.681,33.724,35.031,35.861,37.991,38.897,40.026,40.806,43.546,46.581,50.262,49.784,50.618,54.504,55.376,55.954,56.711,58.862,59.091,57.751,54.524,55.988,56.767,54.528,47.991,49.272,52.048,52.672,50.227,#N/A,#N/A
Greenland,0.151,0.154,0.159,0.165,0.171,0.174,0.179,0.183,0.188,0.197,0.207,0.202,0.203,0.237,0.24,0.242,0.243,0.258,0.264,0.448,0.421,0.388,0.382,0.33,0.336,0.35,0.382,0.388,0.4,0.425,0.414,0.451,0.439,0.45,0.476,0.51,0.481,0.506,#N/A,#N/A,#N/A
Guatemala,1.87,1.634,1.609,1.613,1.58,1.644,1.858,1.998,2.198,2.367,2.583,2.781,2.803,2.926,3.118,3.448,3.297,3.395,4.261,5.178,6.028,5.828,6.143,7.649,6.747,8.291,8.294,9.022,8.448,8.635,8.6508,8.9368,9.499,10.22,10.813,11.336,12.06,12.523,#N/A,#N/A,#N/A
