Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Area
East Timor,5803930,5935900,6067770,6199660,6331760,6464230,6596970,6729930,6863440,6997880,7133490,7270410,7408340,7546470,7683710,7819240,7952770,8084410,8214430,8343290,8471320,8598600,8724970,8850320,8974440,9097260,9218680,9338860,9458080,9576740,9695120,9813220,9930920,10048200,10165200,10281700,10397700,10513100,10624700,1250145,1318445,14874
Ecuador,7989180,8197650,8409400,8624590,8843460,9066100,9292480,9522360,9755580,9991870,10230900,10472500,10716100,10961500,11208000,11455200,11703200,11951500,12198500,12442100,12681100,12914700,13143500,13369700,13596400,13825800,14059400,14296500,14535700,14774400,15011100,15243900,15474100,15707500,15951800,16212000,16491100,16785400,17071300,17373662,17643054,276841
Egypt,43309100,44400100,45539300,46728300,47968600,49258700,50602400,51991700,53399200,54788700,56134500,57424600,58666800,59880700,61095800,62334000,63601600,64892300,66200300,67515600,68831600,70152700,71485000,72826100,74172100,75523600,76873700,78232100,79636100,81134800,82761200,84529200,86422200,88404600,90424700,92442500,94447100,96442600,98406500,1.00E+08,1.02E+08,1002450
El Salvador,4591130,4666360,4737260,4804940,4871040,4936800,5002340,5067530,5133270,5200610,5270070,5342190,5416330,5490480,5561920,5628600,5689940,5746290,5797760,5844830,5887930,5927000,5962140,5994080,6023800,6052120,6079400,6105810,6131770,6157680,6183880,6210570,6237920,6266080,6295120,6325120,6356140,6388120,37182500,6453553,6486205,21041
Equatorial Guinea,249931,264370,284638,308208,331554,352116,369024,382977,394973,406620,419188,432844,447269,462637,479099,496768,515844,536459,558496,581765,606180,631662,658388,686670,716949,749527,784494,821686,860839,901589,943640,986861,1031190,1076410,1122270,1168570,1215180,1262010,37182500,1355986,1402985,28051
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2215110,2204230,2221860,2239500,2257140,2274780,2292410,2399260,2506110,2612960,2719800,2826650,2895410,2964170,3032920,3101680,3170440,3204910,3239390,3273860,3308340,3342820,3383540,3424260,3464980,3497117,3546421,117600
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1511300,1476950,1448070,1425190,1406000,1393070,1379240,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325220,1320170,1315820,1314870,1315940,1315640,1319130,1324820,1325648,1326535,45227
Ethiopia,35141700,35984500,36995200,38142700,39374400,40652100,41965700,43329200,44757200,46272300,47887900,49610000,51423600,53295600,55181000,57047900,58883500,60697400,62507700,64343000,66224800,68159400,70142100,72170600,74239500,76346300,78489200,80674300,82916200,85233900,87640000,90139900,92727000,95385800,98094300,1.01E+08,1.04E+08,1.06E+08,1.09E+08,1.12E+08,1.15E+08,1104300
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3377,3480,12173
Fiji,635312,650604,665895,681187,696478,711770,715131,718492,721853,725214,728575,737946,747316,756687,766057,775428,782545,789661,796778,803894,811011,813130,815249,817368,819487,821606,829248,836890,844532,852174,859816,861579,863342,865106,866869,868632,874194,879757,37183500,889953,896445,18272
Finland,4781598,4803010,4830625,4859305,4884788,4904322,4920025,4933740,4948450,4966875,4989442,5017555,5045240,5069313,5090935,5110050,5126510,5141712,5155035,5166930,5177435,5189732,5202022,5214690,5230280,5248468,5268939,5291660,5316627,5342010,5366333,5391520,5417145,5442045,5464070,5481475,5497303,5509439,5516123,5532156,5540720,338424
France,55314200,55625000,55944800,56223000,56485480,56749300,57020450,57306880,57610950,57924770,58212000,58495580,58780520,59022400,59236050,59444600,59649850,59856700,60074650,60400100,60816450,61257270,61699100,62131680,62592650,63058320,63489300,63871400,64221570,64543120,64858780,65165150,65479100,65953900,66348590,66570800,66745530,66878020,66977650,65129728,65273511,551695
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,290832,298682,83534
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,100,43966660
Gabon,726335,744695,763932,784056,805117,827107,850052,873871,898472,923714,949493,975785,1002570,1029770,1057250,1084950,1112940,1141330,1170060,1199060,1228360,1258010,1288310,1319950,1353790,1390550,1430140,1472560,1518540,1568930,1624150,1684630,1749680,1817070,1883800,1947690,2007880,2064810,37184500,2172579,2225734,267668
Gambia,726335,744695,763932,784056,805117,827107,850052,873871,898472,923714,949493,975785,1002570,1029770,1057250,1084950,1112940,1141330,1170060,1199060,1228360,1258010,1288310,1319950,1353790,1390550,1430140,1472560,1518540,1568930,1624150,1684630,1749680,1817070,1883800,1947690,2007880,2064810,2118450,2347706,2416668,10689
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5303920,5208950,5097130,4976250,4846630,4709600,4575400,4456650,4362180,4296980,4258570,4238930,4225810,4210160,4189720,4166860,4142650,4119490,4099100,4081010,4064100,4048700,4035310,4024180,4015460,4008720,4002210,3996765,3989167,69700
Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79890700,80286700,80809670,81084850,81238200,81413600,81507670,81475600,81417280,81447200,81487500,81562380,81567950,81493670,81382700,81239750,81058120,80857400,80586450,80319830,80288200,80450300,80676080,81036250,81808880,82391950,82690850,82934160,83517045,83783942,357114
Ghana,11056100,11348300,11676800,12033600,12405700,12783600,13164800,13552000,13947000,14353400,14773300,15207400,15653300,16106800,16561700,17014100,17462500,17909000,18357200,18812400,19278800,19756900,20246400,20750300,21272300,21814700,22379100,22963900,23563800,24170900,24779600,25387700,25996400,26607600,27224500,27849200,28481900,29121500,37185500,30417856,31072940,238533
Greece,89032,91214.8,93397.6,95580.4,97763.2,99946,99223,98500,97777,97054,96331,97122.4,97913.8,98705.2,99496.6,100288,100797,101306,101815,102324,102833,103199,103564,103930,104295,104661,104975,105290,105604,105919,106233,106906,107579,108253,108926,109599,110184,110769,37185500,10473455,10423054,131990
Greenland,89032,91214.8,93397.6,95580.4,97763.2,99946,99223,98500,97777,97054,96331,97122.4,97913.8,98705.2,99496.6,100288,100797,101306,101815,102324,102833,103199,103564,103930,104295,104661,104975,105290,105604,105919,106233,106906,107579,108253,108926,109599,110184,110769,56614.4,56672,56770,2166086
Guatemala,7283460,7466480,7654820,7847470,8042900,8240060,8438600,8639110,8842570,9050460,9263820,9483270,9708550,9938700,10172300,10408500,10646700,10887600,11133500,11387200,11650700,11924900,12208800,12500500,12796900,13096000,13397000,13700300,14006400,14316200,14630400,14948800,15270800,15595800,15923200,16252400,16583100,16915000,17248500,17581472,17915568,108889
Guinea,4871450,4969600,5077070,5195440,5326370,5470720,5629420,5801320,5982480,6167480,6352280,6534940,6716030,6897170,7081120,7269630,7463780,7662070,7860770,8054750,8240740,8417080,8586080,8753100,8925730,9109580,9307420,9518160,9738800,9964470,10192200,10420500,10652000,10892800,11151000,11432100,11738400,12067500,12422600,12771246,13132795,245857
Guinea Bissau,4871450,4969600,5077070,5195440,5326370,5470720,5629420,5801320,5982480,6167480,6352280,6534940,6716030,6897170,7081120,7269630,7463780,7662070,7860770,8054750,8240740,8417080,8586080,8753100,8925730,9109580,9307420,9518160,9738800,9964470,10192200,10420500,10652000,10892800,11151000,11432100,11738400,12067500,37186500,1.92E+09,1960198,36125
Guyana,780153,781734,781249,778953,775217,770439,764447,757451,750641,745581,743306,744477,748596,754141,758896,761298,760801,757975,753778,749676,746718,745206,744789,745142,745737,746156,746335,746477,746815,747718,749430,752029,755388,759281,763371,767433,771363,775218,37186500,782766,786552,214969
Haiti,5643170,5781990,5920810,6059630,6198450,6337270,6477400,6617530,6757660,6897790,7037920,7179230,7320550,7461870,7603190,7744500,7888360,8032220,8176080,8319950,8463810,8610100,8756400,8902700,9048990,9195290,9346090,9496900,9647710,9798520,9949320,10098600,10247800,10397000,10546300,10695500,10836900,10978300,11119700,11263077,11402528,27750
Honduras,3678270,3792920,3910640,4031330,4154860,4281170,4410270,4542220,4677020,4814700,4955300,5098590,5244680,5394420,5548970,5709010,5874810,6045700,6220400,6397140,6574510,6751910,6929270,7106320,7282950,7458980,7634290,7808520,7980960,8150780,8317470,8480670,8640690,8798520,8955580,9112900,9270790,9429020,9587550,9746117,9904607,112492
Hungary,10711540,10711610,10704190,10686790,10665420,10646540,10628200,10610640,10594520,10455000,10373780,10373470,10368250,10355650,10341700,10327030,10308700,10287800,10263300,10233550,10208300,10184380,10154550,10126350,10104730,10084450,10070100,10053200,10036400,10020580,9996447,9952096,9917470,9889152,9863745,9839895,9809904,9785567,9762333,9684679,9660351,93028
Iceland,228256,230665,233273,236021,238818,241587,244335,247057,249755,252424,255044,257616,260155,262650,265140,267627,270144,272709,275294,277868,280439,282910,285329,287955,291102,294976,299727,305181,310855,316057,320342,323471,325642,327194,328592,330237,332209,334395,37187500,339031,341243,103000
India,7.01E+08,7.17E+08,7.34E+08,7.52E+08,7.69E+08,7.87E+08,8.04E+08,8.22E+08,8.40E+08,8.58E+08,8.76E+08,8.94E+08,9.12E+08,9.30E+08,9.48E+08,9.66E+08,9.85E+08,1.00E+09,1.02E+09,1.04E+09,1.06E+09,1.08E+09,1.10E+09,1.11E+09,1.13E+09,1.15E+09,1.17E+09,1.19E+09,1.20E+09,1.22E+09,1.24E+09,1.25E+09,1.27E+09,1.28E+09,1.30E+09,1.31E+09,1.33E+09,1.34E+09,37187500,1.37E+09,1.38E+09,3287590
Indonesia,1.48E+08,1.51E+08,1.55E+08,1.58E+08,1.62E+08,1.65E+08,1.69E+08,1.72E+08,1.75E+08,1.79E+08,1.82E+08,1.85E+08,1.88E+08,1.91E+08,1.94E+08,1.97E+08,2.00E+08,2.03E+08,2.06E+08,2.09E+08,2.12E+08,2.15E+08,2.18E+08,2.21E+08,2.24E+08,2.27E+08,2.30E+08,2.33E+08,2.36E+08,2.39E+08,2.42E+08,2.46E+08,2.49E+08,2.52E+08,2.56E+08,2.59E+08,2.62E+08,2.65E+08,2.68E+08,2.71E+08,2.74E+08,1904569
Iran,38650200,40199900,41869200,43636800,45472800,47347200,49260300,51193800,53077300,54822000,56366200,57679000,58780400,59723800,60590600,61442700,62294900,63136300,63971800,64800900,65623400,66449100,67284800,68123000,68951300,69762300,70554800,71336500,72120600,72924800,73762500,74635000,75539900,76482000,77465800,78492200,79564000,80673900,81780200,82913906,83992949,1648195
Iraq,13653300,14044100,14432500,14815700,15190400,15555800,15909800,16257100,16612300,16994900,17419100,17889500,18402700,18955100,19539300,20149300,20783100,21439600,22114300,22802100,23497600,24208200,24931900,25644500,26313800,26922300,27448100,27911200,28385700,28973200,29742000,30725300,31890000,33157100,34411900,35572300,36610600,37552800,38433600,39309783,40222493,438317
Ireland,3417800,3458050,3488950,3513650,3534830,3537090,3541083,3538755,3522475,3510000,3515725,3537550,3561165,3577982,3592195,3611645,3641872,3678975,3717525,3760480,3812075,3874605,3940007,4004605,4080615,4171975,4290635,4413647,4497485,4538890,4562835,4582385,4602095,4627322,4662713,4708040,4762595,4813138,37188500,4882495,4937786,70273
