Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4391241.80,4843261.21,4845781.88,4176548.45,4661954.48,5609561.09,8084336.30,10173591.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2280303.10,2563593.47,2620282.62,3300408.83,2535929.86,3014050.82,3693766.40,3981867.52,3698056.45,3686276.61,3617947.14,3846316.79,3924683.23,4083302.54,4466429.46,5730420.75,6382106.09,7045698.86,8748906.63,10849019.02,7933397.12,8644721.99,8788557.85,7376933.50,6418215.73,8056396.32,7132831.48,7867367.48,9308162.13,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12703873.02,14950940.67,25303402.50,27717294.08,27183540.22,30524192.77,28837311.77,32242586.51,36476653.55,48230794.21,51239343.42,66705681.86,76527310.25,93429474.46,116822197.50,141833836.00,104849536.20,125690657.80,150813415.50,139726823.80,142525808.10,153225461.50,140716185.60,142327655.90,162898931.60,#N/A,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12703873.02,14950940.67,25303402.50,27717294.08,27183540.22,30524192.77,28837311.77,32242586.51,36476653.55,48230794.21,51239343.42,66705681.86,76527310.25,93429474.46,116822197.50,141833836.00,104849536.20,125690657.80,150813415.50,139726823.80,142525808.10,153225461.50,140716185.60,142327655.90,162898931.60,#N/A,#N/A,#N/A
Denmark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26618134.53,31575709.70,32169422.85,33590321.15,30535712.77,35436449.79,43141529.60,43126353.92,44492341.25,45700681.73,44316614.71,44533303.70,44625173.80,49284928.74,56227253.87,66845208.98,72715727.01,84187118.38,97445155.58,109166094.70,80096730.48,82724280.37,96008493.22,91325521.62,97251542.76,99567827.97,85327361.28,84427760.62,92117788.02,#N/A,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,647615.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominican Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5496743.94,5329777.97,4208657.31,4703853.99,6804051.61,8421973.14,10594387.08,12167109.73,12054439.22,15138222.51,18156132.54,17430206.20,17844950.99,17751694.86,17347815.27,17788807.96,19524253.47,#N/A,#N/A,#N/A
East Timor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,113488.86,101613.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,513738.51,#N/A,#N/A,#N/A,588047.30,#N/A,#N/A,#N/A
Ecuador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2327865.09,2501299.71,2552716.29,3622003.97,4195143.42,3733027.33,4510621.18,5575400.45,3017166.54,3445927.69,5362914.10,6431064.88,6534347.69,7861034.23,9608701.21,12113558.39,13565297.22,18851930.30,15089885.15,20590848.48,24286061.05,25196517.28,27064498.73,27518177.87,21387292.07,16188692.76,19844932.84,#N/A,#N/A,#N/A
Egypt,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2327865.09,2501299.71,2552716.29,3622003.97,4195143.42,3733027.33,4510621.18,5575400.45,3017166.54,3445927.69,5362914.10,6431064.88,6534347.69,7861034.23,9608701.21,12113558.39,13565297.22,18851930.30,15089885.15,20590848.48,24286061.05,25196517.28,27064498.73,27518177.87,21387292.07,16188692.76,19844932.84,#N/A,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2255781.63,2627658.75,2670085.89,2961483.01,3108029.18,3128087.33,4947706.94,5026519.68,5184498.08,5754222.82,6328971.08,6809106.55,7762676.03,8820612.38,9817654.30,7325362.18,8416163.09,9964507.54,10257426.89,10747532.93,10514175.66,10293395.31,9825783.21,10571509.38,#N/A,#N/A,#N/A
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2255781.63,2627658.75,2670085.89,2961483.01,3108029.18,3128087.33,4947706.94,5026519.68,5184498.08,5754222.82,6328971.08,6809106.55,7762676.03,8820612.38,9817654.30,7325362.18,8416163.09,9964507.54,10257426.89,10747532.93,10514175.66,10293395.31,9825783.21,10571509.38,#N/A,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,432846.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2546270.98,3223890.94,4437264.90,4786737.66,4109452.23,5051531.69,5207843.49,5864475.52,7944175.48,9064122.23,11017581.23,14640717.08,16665173.90,17334620.51,11359986.31,13196568.16,18963366.16,20070375.62,20186202.05,20184649.52,15731849.16,15682263.35,17372913.33,#N/A,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2546270.98,3223890.94,4437264.90,4786737.66,4109452.23,5051531.69,5207843.49,5864475.52,7944175.48,9064122.23,11017581.23,14640717.08,16665173.90,17334620.51,11359986.31,13196568.16,18963366.16,20070375.62,20186202.05,20184649.52,15731849.16,15682263.35,17372913.33,#N/A,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,370150.53,350133.02,378312.22,477465.03,532820.29,499838.54,495688.93,739889.00,628549.86,746636.15,783239.86,1015836.72,988075.79,783439.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
