Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,1.270387302,1.495094067,2.53034025,2.771729408,2.718354022,3.052419277,2.883731177,3.224258651,3.647665355,4.823079421,5.123934342,6.670568186,7.652731025,9.342947446,11.68221975,14.1833836,10.48495362,12.56906578,15.08134155,13.97268238,14.25258081,15.32254615,14.07161856,14.23276559,16.28989316,#N/A,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,1.270387302,1.495094067,2.53034025,2.771729408,2.718354022,3.052419277,2.883731177,3.224258651,3.647665355,4.823079421,5.123934342,6.670568186,7.652731025,9.342947446,11.68221975,14.1833836,10.48495362,12.56906578,15.08134155,13.97268238,14.25258081,15.32254615,14.07161856,14.23276559,16.28989316,#N/A,#N/A,#N/A
Denmark,#N/A,2.661813453,3.15757097,3.216942285,3.359032115,3.053571277,3.543644979,4.31415296,4.312635392,4.449234125,4.570068173,4.431661471,4.45333037,4.46251738,4.928492874,5.622725387,6.684520898,7.271572701,8.418711838,9.744515558,10.91660947,8.009673048,8.272428037,9.600849322,9.132552162,9.725154276,9.956782797,8.532736128,8.442776062,9.211778802,#N/A,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.064761535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominican Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.549674394,0.532977797,0.420865731,0.470385399,0.680405161,0.842197314,1.059438708,1.216710973,1.205443922,1.513822251,1.815613254,1.74302062,1.784495099,1.775169486,1.734781527,1.778880796,1.952425347,#N/A,#N/A,#N/A
East Timor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.011348886,0.010161316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.051373851,#N/A,#N/A,#N/A,0.05880473,#N/A,#N/A,#N/A
Ecuador,#N/A,#N/A,#N/A,0.232786509,0.250129971,0.255271629,0.362200397,0.419514342,0.373302733,0.451062118,0.557540045,0.301716654,0.344592769,0.53629141,0.643106488,0.653434769,0.786103423,0.960870121,1.211355839,1.356529722,1.88519303,1.508988515,2.059084848,2.428606105,2.519651728,2.706449873,2.751817787,2.138729207,1.618869276,1.984493284,#N/A,#N/A,#N/A
Egypt,#N/A,#N/A,#N/A,0.232786509,0.250129971,0.255271629,0.362200397,0.419514342,0.373302733,0.451062118,0.557540045,0.301716654,0.344592769,0.53629141,0.643106488,0.653434769,0.786103423,0.960870121,1.211355839,1.356529722,1.88519303,1.508988515,2.059084848,2.428606105,2.519651728,2.706449873,2.751817787,2.138729207,1.618869276,1.984493284,#N/A,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.225578163,0.262765875,0.267008589,0.296148301,0.310802918,0.312808733,0.494770694,0.502651968,0.518449808,0.575422282,0.632897108,0.680910655,0.776267603,0.882061238,0.98176543,0.732536218,0.841616309,0.996450754,1.025742689,1.074753293,1.051417566,1.029339531,0.982578321,1.057150938,#N/A,#N/A,#N/A
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.225578163,0.262765875,0.267008589,0.296148301,0.310802918,0.312808733,0.494770694,0.502651968,0.518449808,0.575422282,0.632897108,0.680910655,0.776267603,0.882061238,0.98176543,0.732536218,0.841616309,0.996450754,1.025742689,1.074753293,1.051417566,1.029339531,0.982578321,1.057150938,#N/A,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.043284662,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.254627098,0.322389094,0.44372649,0.478673766,0.410945223,0.505153169,0.520784349,0.586447552,0.794417548,0.906412223,1.101758123,1.464071708,1.66651739,1.733462051,1.135998631,1.319656816,1.896336616,2.007037562,2.018620205,2.018464952,1.573184916,1.568226335,1.737291333,#N/A,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.254627098,0.322389094,0.44372649,0.478673766,0.410945223,0.505153169,0.520784349,0.586447552,0.794417548,0.906412223,1.101758123,1.464071708,1.66651739,1.733462051,1.135998631,1.319656816,1.896336616,2.007037562,2.018620205,2.018464952,1.573184916,1.568226335,1.737291333,#N/A,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.037015053,0.035013302,0.037831222,0.047746503,0.053282029,0.049983854,0.049568893,0.0739889,0.062854986,0.074663615,0.078323986,0.101583672,0.098807579,0.078343983,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07722743,0.073724174,0.079526312,0.107993333,0.127195525,0.160729608,0.180387335,0.177973617,0.22638796,0.143701931,0.180845877,0.2181872,0.225259763,0.282573041,0.325046358,0.208087522,0.231640986,0.241993679,#N/A,#N/A,#N/A
Finland,2.092043264,2.461303808,2.70041129,2.17884672,2.117600256,1.803275469,2.33576448,2.951984538,3.085960806,3.100101837,3.239458406,3.161407534,3.388639831,3.326792718,3.34400471,4.159324797,5.067802164,5.847254234,6.942744256,8.157627186,9.218984288,6.083031684,6.876714378,8.386165817,7.608902101,7.758700177,7.677325467,6.017438773,6.050194955,7.010031988,#N/A,#N/A,#N/A
France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.82815488,27.33873398,27.49137551,26.65753477,28.60358369,28.65928274,30.37578506,29.38656405,30.38314419,36.25173035,43.4241853,47.58567995,52.99022631,61.13644355,69.50042833,54.05022829,59.91715061,71.36752538,66.6675231,67.12535533,65.98720764,56.33982476,56.05548627,61.31326397,#N/A,#N/A,#N/A
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.067563066,0.078324698,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.101520678,0.093501696,0.110737702,0.092700576,0.097656365,0.101667728,0.126747933,0.156417858,0.147965652,0.170151097,0.154677281,0.159815712,0.223710755,0.171705593,0.172575732,0.162772696,0.170627002,0.181484658,0.176169849,0.152680605,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,0.077490515,0.070750803,#N/A,0.089812032,0.098685228,0.120927573,0.089944336,0.095168875,0.100107871,0.074437569,0.083369451,0.096341529,0.145109086,0.172573533,0.211023304,0.256307149,0.250086225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,0.077490515,0.070750803,#N/A,0.089812032,0.098685228,0.120927573,0.089944336,0.095168875,0.100107871,0.074437569,0.083369451,0.096341529,0.145109086,0.172573533,0.211023304,0.256307149,0.250086225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.068678272,0.094171802,0.088038029,0.060313408,0.070937622,0.075322782,0.079553906,0.114116468,0.184555494,0.248995167,0.367447279,0.521413064,0.605567485,0.447531773,0.523575308,0.70716086,0.80538715,0.802226139,0.860180724,0.728125828,0.723576956,0.79433015,#N/A,#N/A,#N/A
Germany,25.0293231,26.957591,34.2483041,38.8915818,40.8307127,34.2558712,38.1538916,46.4145333,45.86997287,44.54956728,47.12263188,47.35006802,50.0830026,48.6022068,49.0450056,60.1761022,71.8150018,77.9819058,92.2213393,105.9307813,119.2581759,92.88911722,106.0672352,126.1588484,116.3386794,118.7301533,121.4915242,105.7535854,106.088207,116.7753355,#N/A,#N/A,#N/A
Ghana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.248080845,0.335242291,0.291129242,0.300375834,0.290056053,0.315381346,0.27082523,0.321018724,0.407395396,0.487838927,0.53288246,0.727829,0.905768738,0.646480253,0.805714073,1.260267633,1.357811262,1.27872334,#N/A,#N/A,1.13610044,1.271814184,#N/A,#N/A,#N/A
