Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.019478958,-0.014733574,-0.011273702,0.022656951,0.046594227,-0.034491628,-0.1,-0.2,-0.1,-0.2,#N/A,-0.3,-0.3,-0.4,-0.364030345,-0.35683596,-0.258762478,-0.191359224,-0.072853045,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0.02,0.01,#N/A,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,2.8,3.9,5.3,4.6,4.6,9.560273973,9.36242623,9.245460274,12.47534795,15.34588767,17.16675683,17.54406849,16.08936986,13.74369863,11.62656831,10.39010959,15.76478082,16.27893151,16.75,14.43,17.815,18.05161644,15.58633333,19.765,19.765,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,2.8,3.9,5.3,4.6,4.6,9.560273973,9.36242623,9.245460274,12.47534795,15.34588767,17.16675683,17.54406849,16.08936986,13.74369863,11.62656831,10.39010959,15.76478082,16.27893151,16.75,14.43,17.815,18.05161644,15.58633333,19.765,19.765,#N/A,#N/A
Denmark,#N/A,5.3,15,34,44,46,58,76,97,99,117,121,144,163,174,185.5780822,187.2767123,210.0234973,233.2821918,240.6534247,302.5808219,365.1792705,348.9895836,373.4323589,378.4092247,392.7448962,380.7835699,345.7568137,315.2797123,290.467888,264.3076849,249.2904301,225.0753452,205.9141831,180.1261671,169.6287123,160.7615753,145.673612,142.4461507,123.5502603,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominican Republic,#N/A,1,1,1,1,1,1,-0.2,0.043513383,0.037153263,0.090471067,-0.1,-0.2,-0.9,-0.5,-0.4,-1,-0.9,-1,-1,-0.4,-0.154269661,-0.094726503,-0.067024884,0.011947239,-0.448665921,-0.389,-0.309,-0.392,-0.266,0.035,-0.041,-0.104,-0.103,-0.112,-0.038,-0.116,-0.116,-0.116,-0.116,#N/A,#N/A
East Timor,#N/A,1,1,1,1,1,1,-0.2,0.043513383,0.037153263,0.090471067,-0.1,-0.2,-0.9,-0.5,-0.4,-1,-0.9,-1,-1,-0.4,-0.154269661,-0.094726503,-0.067024884,0.011947239,-0.448665921,-0.389,-0.309,-0.392,-0.266,0.035,-0.041,-0.104,-0.103,-0.112,-0.038,-0.116,-0.116,-0.116,-0.116,#N/A,#N/A
Ecuador,#N/A,207,214,214,240,261,284,295,175,303,281,286,301,324,349,369.9205479,395.8273973,397.8781421,389.4452055,376.2986301,374.0438356,396.3113705,412.5113081,392.7185922,411.3417693,529.0058174,532.7554,536.3802192,511.4226,505.2686639,485.7071753,486.0975205,498.9800219,503.3960792,525.4544082,556.0120575,542.5465014,548.378765,531.2812877,517.0785479,#N/A,#N/A
Egypt,#N/A,613,616,691,753,848,915,826,911,873,899,901,907,883,898,903.8054795,929.5,933.6666667,869.7575342,848.3054795,872.5890411,793.3373379,748.0604841,742.5516913,744.0953804,700.0920713,682.7735479,662.7359041,658.8939726,691.0547705,701.3859315,694.5144247,701.7456438,703.8978197,707.0143836,706.6114521,717.6934247,682.9041421,657.9684658,667.795863,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00263546,-0.047689205,-0.055283356,0.01508158,-0.061505171,-0.1,-0.043107022,-0.017101108,#N/A,#N/A,-0.1,-0.3,-0.5,-0.6,-0.591263548,-0.669295753,-0.27776511,-0.105889806,-0.204290633,0.966,5.308,4.297,4.182,1.772,-0.52,-0.377,-0.317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
